"","tnr.test.mean","tpr.test.mean","acc.test.mean","tp.test.mean","fp.test.mean","tn.test.mean","fn.test.mean","ppv.test.mean","f1.test.mean","mmce.test.mean","tnr_train","tpr_train","acc_train","tp_train","fp_train","tn_train","fn_train","ppv_train","f1_train","mmce_train","best_k","predictors","num_predictors"
"129",0.314285714285714,0.947945205479452,0.845977011494253,69.2,9.6,4.4,3.8,0.878401275384119,0.911637353400588,0.154022988505747,0.307142857142857,0.946575342465753,0.84367816091954,691,97,43,39,0.876903553299492,0.910408432147563,0.15632183908046,35,"OverTime MaritalStatus WorkLifeBalanceB",3
"473",0.314285714285714,0.956164383561644,0.852873563218391,69.8,9.6,4.4,3.2,0.87909069325736,0.915956942680745,0.147126436781609,0.357142857142857,0.965753424657534,0.867816091954023,705,90,50,25,0.886792452830189,0.924590163934426,0.132183908045977,1,"OverTime StockOptionLevel NumCompaniesWorkedB Education",4
"478",0.314285714285714,0.935616438356164,0.835632183908046,68.3,9.6,4.4,4.7,0.876974922495908,0.905179982806449,0.164367816091954,0.585714285714286,0.973972602739726,0.911494252873563,711,58,82,19,0.924577373211964,0.94863242161441,0.0885057471264368,1,"OverTime JobLevelB MaritalStatus Age",4
"1316",0.314285714285714,0.93972602739726,0.839080459770115,68.6,9.6,4.4,4.4,0.877568055413502,0.907221741222367,0.160919540229885,0.371428571428571,0.943835616438356,0.851724137931035,689,88,52,41,0.886743886743887,0.914399469143995,0.148275862068966,1,"OverTime StockOptionLevel MaritalStatus NumCompaniesWorkedB EnviornmentSatisfactionB",5
"1367",0.314285714285714,0.954794520547945,0.851724137931035,69.7,9.6,4.4,3.3,0.879092805967279,0.915261853804695,0.148275862068966,0.364285714285714,0.96027397260274,0.864367816091954,701,89,51,29,0.887341772151899,0.922368421052632,0.135632183908046,3,"OverTime StockOptionLevel JobSatisfaction Education WorkLifeBalanceB",5
"1403",0.314285714285714,0.943835616438356,0.842528735632184,68.9,9.6,4.4,4.1,0.87814366756842,0.909499291064425,0.157471264367816,0.364285714285714,0.961643835616438,0.86551724137931,702,89,51,28,0.887484197218711,0.923076923076923,0.13448275862069,1,"OverTime JobLevelB MaritalStatus EnviornmentSatisfactionB Education",5
"1455",0.314285714285714,0.954794520547945,0.851724137931035,69.7,9.6,4.4,3.3,0.879011422824714,0.915277643915599,0.148275862068966,0.357142857142857,0.965753424657534,0.867816091954023,705,90,50,25,0.886792452830189,0.924590163934426,0.132183908045977,1,"OverTime JobLevelB JobInvolvementB EnviornmentSatisfactionB Education",5
"1458",0.314285714285714,0.952054794520548,0.849425287356322,69.5,9.6,4.4,3.5,0.87903795743878,0.913904889677512,0.150574712643678,0.335714285714286,0.958904109589041,0.858620689655172,700,93,47,30,0.882723833543506,0.919238345370978,0.141379310344828,3,"OverTime JobLevelB NumCompaniesWorkedB EnviornmentSatisfactionB Education",5
"1462",0.314285714285714,0.894520547945205,0.801149425287356,65.3,9.6,4.4,7.7,0.871833971060327,0.882361747151297,0.198850574712644,0.971428571428571,0.995890410958904,0.991954022988506,727,4,136,3,0.99452804377565,0.995208761122519,0.00804597701149425,1,"OverTime MaritalStatus Age YearsAtCompany JobSatisfaction",5
"1490",0.314285714285714,0.928767123287671,0.829885057471264,67.8,9.6,4.4,5.2,0.876129994478096,0.901559060861492,0.170114942528736,0.6,0.983561643835616,0.92183908045977,718,56,84,12,0.92764857881137,0.954787234042553,0.0781609195402299,1,"OverTime MaritalStatus YearsAtCompany JobInvolvementB Education",5
